iter	Passed	Remaining
0	28	20101
1	48	16787
2	67	15656
3	89	15503
4	108	15060
5	127	14710
6	145	14451
7	164	14228
8	183	14050
9	200	13825
10	218	13685
11	237	13640
12	256	13550
13	275	13503
14	293	13412
15	312	13346
16	330	13264
17	347	13182
18	365	13103
19	383	13029
20	400	12942
21	418	12901
22	435	12828
23	455	12842
24	474	12813
25	492	12778
26	511	12748
27	529	12699
28	547	12656
29	564	12613
30	581	12558
31	601	12560
32	621	12556
33	640	12542
34	658	12519
35	677	12488
36	694	12449
37	712	12412
38	729	12367
39	746	12312
40	767	12341
41	786	12323
42	805	12306
43	824	12293
44	848	12351
45	870	12372
46	894	12432
47	917	12458
48	940	12497
49	964	12540
50	984	12531
51	1004	12519
52	1022	12477
53	1039	12438
54	1056	12389
55	1074	12356
56	1093	12336
57	1113	12321
58	1132	12302
59	1151	12284
60	1170	12265
61	1188	12227
62	1211	12248
63	1230	12232
64	1249	12209
65	1268	12186
66	1286	12155
67	1303	12118
68	1323	12101
69	1342	12085
70	1362	12067
71	1381	12047
72	1399	12022
73	1417	11993
74	1436	11971
75	1456	11961
76	1476	11942
77	1495	11925
78	1514	11901
79	1532	11880
80	1551	11854
81	1570	11835
82	1589	11818
83	1606	11781
84	1625	11761
85	1644	11737
86	1662	11712
87	1678	11672
88	1700	11677
89	1720	11659
90	1739	11638
91	1757	11616
92	1775	11590
93	1793	11562
94	1821	11597
95	1837	11559
96	1854	11527
97	1869	11481
98	1884	11437
99	1899	11395
100	1914	11351
101	1929	11312
102	1944	11271
103	1959	11229
104	1974	11189
105	1991	11159
106	2006	11119
107	2021	11079
108	2036	11039
109	2050	10997
110	2065	10961
111	2080	10923
112	2095	10887
113	2110	10848
114	2125	10810
115	2140	10777
116	2155	10740
117	2170	10705
118	2185	10669
119	2200	10635
120	2215	10602
121	2230	10568
122	2246	10537
123	2261	10504
124	2276	10471
125	2291	10438
126	2306	10405
127	2321	10374
128	2336	10342
129	2351	10311
130	2366	10280
131	2381	10246
